id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Jack,McFetridge,mcfetja01,1890,1903,12,1891 - 1902,
2,Alex,Jones,jonesal01,1894,1903,8,1895 - 1902,
3,Pat,McCauley,mccaupa01,1896,1903,6,1897 - 1902,
4,Ed,Abbaticchio,abbated01,1898,1903,4,1899 - 1902,
5,Clarence,Williams,willicl01,1899,1903,3,1900 - 1902,
6,John,Nelson,nelsojo03,1899,1903,3,1900 - 1902,
7,Frank,McManus,mcmanfr01,1899,1903,3,1900 - 1902,
8,Ray,Wilson,wilsora01,1899,1903,3,1900 - 1902,
9,Pete,Cregan,cregape01,1899,1903,3,1900 - 1902,
10,Davy,Dunkle,dunklda01,1899,1903,3,1900 - 1902,
11,Will,Jackson,jackswi01,1899,1903,3,1900 - 1902,
12,Bob,Jordan,jordabo01,1899,1903,3,1900 - 1902,
13,Willis,Jones,joneswi04,1900,1903,2,1901 - 1902,
14,Bert,Jones,jonesbe01,1900,1903,2,1901 - 1902,
15,Bill,Monroe,monrobi01,1900,1903,2,1901 - 1902,
16,Harry,Moore,mooreha02,1900,1903,2,1901 - 1902,
17,Patsy,Flaherty,flahepa02,1900,1903,2,1901 - 1902,
18,Robert,Footes,footero01,1900,1903,2,1901 - 1902,
19,George,Richardson,richage03,1900,1903,2,1901 - 1902,
20,Sol,White,whiteso99,1900,1903,2,1901 - 1902,
21,Frank,Grant,grantfr99,1900,1903,2,1901 - 1902,
22,Billy,Holland,hollabi04,1900,1903,2,1901 - 1902,
23,Sherman,Barton,bartosh02,1901,1903,1,1902 - 1902,
24,William,Binga,bingawi01,1901,1903,1,1902 - 1902,
25,Dave,Brain,brainda01,1901,1903,1,1902 - 1902,
26,Charlie,Carr,carrch01,1901,1903,1,1902 - 1902,
27,John,Ganzel,ganzejo01,1901,1903,1,1902 - 1902,
28,Lou,Gertenrich,gertelo01,1901,1903,1,1902 - 1902,
29,Bill,Hallman,hallmbi02,1901,1903,1,1902 - 1902,
30,Tim,Jordan,jordati01,1901,1903,1,1902 - 1902,
31,Will,Horn,hornwi01,1901,1903,1,1902 - 1902,
32,Emil,Haberer,haberem01,1901,1903,1,1902 - 1902,
33,Jack,O'Brien,obrieja02,1901,1903,1,1902 - 1902,
34,Frank,Owen,owenfr01,1901,1903,1,1902 - 1902,
35,John,Patterson,pattejo04,1901,1903,1,1902 - 1902,
36,Chappie,Johnson,johnsch06,1901,1903,1,1902 - 1902,
37,Billy,Clingman,clingbi01,1901,1903,1,1902 - 1902,
38,Jack,Slattery,slattja01,1901,1903,1,1902 - 1902,
39,Jack,Sutthoff,sutthja01,1901,1903,1,1902 - 1902,
40,Larry,McLean,mcleala01,1901,1903,1,1902 - 1902,
41,Charlie,Grant,grantch01,1901,1903,1,1902 - 1902,
42,John,Skopec,skopejo01,1901,1903,1,1902 - 1902,
