year,player_count
1871,0
1872,0
1873,4
1874,7
1875,13
1876,4
1877,8
1878,13
1879,19
1880,19
1881,14
1882,42
1883,34
1884,64
1885,3
1886,42
1887,28
1888,32
1889,24
1890,73
1891,22
1892,19
1893,30
1894,32
1895,31
1896,20
1897,35
1898,30
1899,37
1900,14
1901,75
1902,22
1903,42
1904,35
1905,36
1906,49
1907,38
1908,51
1909,52
1910,41
1911,52
1912,62
1913,51
1914,116
1915,61
1916,52
1917,58
1918,120
1919,89
1920,84
1921,65
1922,63
1923,51
1924,81
1925,85
1926,83
1927,92
1928,84
1929,86
1930,78
1931,84
1932,115
1933,69
1934,74
1935,63
1936,51
1937,106
1938,61
1939,72
1940,68
1941,82
1942,95
1943,110
1944,109
1945,123
1946,336
1947,82
1948,75
1949,41
1950,50
1951,54
1952,45
1953,53
1954,53
1955,66
1956,39
1957,53
1958,42
1959,38
1960,40
1961,40
1962,39
1963,20
1964,33
1965,39
1966,42
1967,38
1968,34
1969,86
1970,30
1971,43
1972,35
1973,32
1974,42
1975,33
1976,32
1977,50
1978,40
1979,31
1980,38
1981,37
1982,47
1983,42
1984,35
1985,52
1986,55
1987,55
1988,58
1989,57
1990,61
1991,43
1992,40
1993,75
1994,46
1995,91
1996,71
1997,55
1998,62
1999,66
2000,73
2001,73
2002,81
2003,91
2004,89
2005,80
2006,73
2007,92
2008,80
2009,69
2010,78
2011,90
2012,75
2013,70
2014,73
2015,64
2016,62
2017,70
2018,80
2019,65
2020,52
2021,164
2022,82
2023,81
2024,89
